Anno,Entità,Data Overshoot,Stato DOS,Biocapacità (Gha/persona),Imponta Eco(Gha/persona),Biocapacità Totale (M Gha),Impronta Eco Totale (M Gha),Quante Terre
2026,Asia,15 July,Disponibile,0.6,2.30,"2,679,863,381.22","10,189,107,187.79",1.6
2026,Australia,01 March,Disponibile,11.83,7.24,"325,562,217.67","198,572,471.13",5.0
2026,Brasile,25 July,Disponibile,7.9,2.32,"1,748,000,823.48","513,275,094.01",1.6
2026,Canada,10 March,Disponibile,13.79,7.79,"553,246,297.19","312,211,788.85",5.4
2026,Centro America,05 October,Disponibile,1.19,2.38,"207,811,581.55","416,951,638.77",1.6
2026,Cina,28 May,Disponibile,0.73,3.79,"1,061,929,442.89","5,579,636,588.74",2.6
2026,Egitto,05 November,Disponibile,0.22,1.25,"26,470,542.63","149,738,866.75",0.9
2026,Europa,01 May,Disponibile,3.16,4.68,"2,151,712,099.37","3,182,893,707.44",3.2
2026,Francia,02 May,Disponibile,2.54,4.71,"165,326,998.46","307,160,200.70",3.3
2026,Germania,28 April,Disponibile,1.59,3.97,"133,040,290.48","333,082,793.62",2.7
2026,Giappone,15 April,Disponibile,0.63,3.95,"76,674,400.26","480,717,867.02",2.7
2026,Italia,03 May,Disponibile,0.93,4.38,"54,300,835.74","255,900,788.70",3.0
2026,Lussemburgo,12 February,Disponibile,1.23,10.63,"852,840.78","7,443,604.09",7.3
2026,Mondo,25 July,Disponibile,1.45,2.63,"12,068,507,633.54","21,736,852,078.59",1.8
2026,Qatar,08 February,Disponibile,0.92,14.43,"2,596,096.38","40,851,259.75",10.0
2026,Regno Unito,04 May,Disponibile,1.1,3.52,"75,608,359.62","243,140,528.50",2.4
2026,Sud Africa,05 September,Disponibile,1.19,2.92,"74,522,163.34","182,065,572.72",2.0
2026,Sud America,10 September,Disponibile,4.59,2.38,"2,840,548,171.41","1,472,409,418.47",1.6
2026,USA,10 March,Disponibile,3.69,7.33,"1,277,702,930.76","2,542,148,852.97",5.1
