Anno,Entità,Data Overshoot,Stato DOS,Biocapacità (Gha/persona),Imponta Eco(Gha/persona),Biocapacità Totale (M Gha),Impronta Eco Totale (M Gha),Quante Terre
2015,Canada,15 March,Disponibile,15.29,8.02,"546,408,978.96","286,581,887.75",5.0
2015,Centro America,05 November,Disponibile,1.31,2.63,"205,971,495.59","415,057,997.97",1.7
2015,Cina,12 June,Disponibile,0.71,3.24,"1,016,132,266.78","4,620,310,108.66",2.0
2015,Egitto,28 December,Disponibile,0.23,1.68,"22,737,049.03","164,214,206.72",1.1
2015,Europa,08 May,Disponibile,3.18,4.81,"2,134,561,668.18","3,229,426,751.58",3.0
2015,Francia,05 May,Disponibile,2.86,5.41,"182,354,211.25","345,395,104.79",3.4
2015,Germania,03 May,Disponibile,1.76,5.22,"144,850,355.83","428,626,296.10",3.3
2015,Giappone,15 May,Disponibile,0.61,4.45,"78,051,222.62","565,938,903.77",2.8
2015,Italia,19 May,Disponibile,0.96,4.42,"57,647,366.44","266,391,509.41",2.8
2015,Lussemburgo,15 February,Disponibile,1.54,14.39,"874,379.77","8,191,821.75",9.1
2015,Mondo,13 August,Disponibile,1.59,2.69,"11,807,973,174.88","19,960,954,589.71",1.7
2015,Qatar,11 February,Disponibile,1.05,15.75,"2,524,766.24","38,040,049.98",9.9
2015,Regno Unito,08 May,Disponibile,1.23,4.76,"80,540,637.38","310,164,207.18",3.0
2015,Sud Africa,10 October,Disponibile,1.17,3.29,"65,283,072.90","183,710,117.72",2.1
2015,Sud America,12 October,Disponibile,5.07,2.70,"2,866,609,473.43","1,523,589,353.39",1.7
2015,USA,14 March,Disponibile,3.87,8.25,"1,254,798,173.12","2,677,616,847.79",5.2
2016,Africa,22 December,Disponibile,1.02,1.31,"1,101,544,734.70","1,419,673,742.18",0.8
2016,Asia,10 September,Disponibile,0.61,2.10,"2,522,740,741.97","8,664,043,053.80",1.3
2016,Australia,12 March,Disponibile,12.08,6.87,"292,338,797.14","166,113,052.08",4.4
2016,Brasile,25 August,Disponibile,8.48,2.58,"1,753,920,096.52","533,485,194.54",1.6
2016,Canada,15 March,Disponibile,15.42,8.34,"556,875,607.35","301,203,246.46",5.3
2016,Centro America,05 November,Disponibile,1.31,2.66,"208,935,103.76","423,286,752.32",1.7
2016,Cina,11 June,Disponibile,0.71,3.24,"1,020,601,890.56","4,644,279,523.41",2.1
2016,Egitto,28 December,Disponibile,0.23,1.60,"23,095,530.80","160,034,046.15",1.0
2016,Europa,08 May,Disponibile,3.17,4.74,"2,129,752,100.98","3,186,148,949.15",3.0
2016,Francia,05 May,Disponibile,2.5,4.97,"160,068,108.94","318,516,423.03",3.2
2016,Germania,04 May,Disponibile,1.71,5.10,"140,536,931.89","419,547,798.84",3.2
2016,Giappone,15 May,Disponibile,0.61,4.39,"77,372,124.39","556,918,909.51",2.8
2016,Italia,,Mancante,0.96,4.36,"58,039,777.30","262,548,401.49",2.8
2016,Lussemburgo,15 February,Disponibile,1.39,14.11,"812,489.78","8,231,045.72",8.9
2016,Mondo,,Mancante,1.58,2.64,"11,861,017,948.71","19,842,648,923.67",1.7
2016,Qatar,11 February,Disponibile,0.98,14.57,"2,537,554.17","37,821,814.98",9.2
2016,Regno Unito,07 May,Disponibile,1.16,4.50,"76,112,255.53","295,544,569.84",2.9
2016,Sud Africa,08 October,Disponibile,1.18,3.22,"66,591,162.37","181,836,897.69",2.0
2016,Sud America,12 October,Disponibile,4.99,2.61,"2,847,340,226.28","1,487,778,891.53",1.7
2016,USA,,Mancante,3.99,8.20,"1,307,126,651.35","2,684,356,687.31",5.2
2017,Africa,20 December,Disponibile,1.01,1.31,"1,120,210,024.34","1,459,012,728.96",0.8
2017,Asia,08 September,Disponibile,0.62,2.17,"2,566,408,073.04","9,025,313,189.44",1.4
2017,Australia,11 March,Disponibile,12.99,7.86,"319,393,505.87","193,316,255.82",5.0
2017,Brasile,22 August,Disponibile,8.49,2.68,"1,770,694,245.24","559,497,677.30",1.7
2017,Canada,14 March,Disponibile,15.08,8.42,"551,289,001.07","307,756,430.21",5.3
2017,Centro America,02 November,Disponibile,1.29,2.68,"207,924,219.24","432,846,646.21",1.7
2017,Cina,10 June,Disponibile,0.71,3.32,"1,029,949,736.53","4,787,656,871.68",2.1
2017,Egitto,25 December,Disponibile,0.23,1.68,"23,917,677.40","170,817,992.02",1.1
2017,Europa,07 May,Disponibile,3.21,4.90,"2,162,342,707.33","3,299,559,942.68",3.1
2017,Francia,05 May,Disponibile,2.79,5.46,"178,748,334.23","350,243,103.75",3.5
2017,Germania,04 May,Disponibile,1.69,5.10,"139,843,646.13","421,451,408.72",3.2
2017,Giappone,14 May,Disponibile,0.62,4.54,"77,958,310.47","575,506,864.99",2.9
2017,Italia,19 May,Disponibile,0.94,4.40,"56,559,680.37","264,094,999.82",2.8
2017,Lussemburgo,14 February,Disponibile,1.39,14.51,"829,576.58","8,654,819.94",9.2
